goos: linux
goarch: amd64
pkg: github.com/kislaykishore/benchmarks/metrics_bench/asyncblocking
cpu: Intel(R) Xeon(R) CPU @ 2.20GHz
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	 2369119	        54.25 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	 2344570	        54.15 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	 2191008	        53.34 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	 2148799	        56.85 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	 2298718	        53.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	 2207419	        53.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	 2329738	        47.31 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	 2358368	        46.22 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	 2514722	        49.01 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	 2340213	        52.39 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	 2131240	        52.67 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	 2510188	        49.66 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=true-2  	  834748	       226.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=true-2  	  747494	       234.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=true-2  	  772670	       224.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=true-2  	  761484	       224.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=true-2  	  907395	       220.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=true-2  	  787597	       224.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=false-2 	  936393	       207.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=false-2 	  961894	       191.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=false-2 	  916720	       201.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=false-2 	 1000000	       193.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=false-2 	  967603	       189.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=true/multipleObs=false-2 	  991968	       190.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=true-2 	  873636	       213.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=true-2 	  863112	       204.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=true-2 	  795889	       212.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=true-2 	  629647	       226.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=true-2 	  894421	       220.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=true-2 	  818554	       219.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=10240000/discard=false/multipleObs=false-2         	  947570	       197.7 ns/op	      48 B/op	       1 allocs/op
