goos: linux
goarch: amd64
pkg: github.com/kislaykishore/benchmarks/metrics_bench/oldunoptimizedimplementation
cpu: Intel(R) Xeon(R) CPU @ 2.20GHz
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	  184576	       659.7 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	  167532	       691.1 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	  150102	       678.3 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	  171286	       705.8 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	  162687	       670.3 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=true-2         	  169838	       697.0 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	  172597	       655.5 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	  174471	       671.1 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	  173583	       664.3 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	  178610	       663.6 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	  175803	       669.6 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=true/multipleObs=false-2        	  168391	       656.6 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=true-2        	  175537	       716.9 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=true-2        	  173059	       707.4 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=true-2        	  160604	       715.0 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=true-2        	  168428	       723.1 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=true-2        	  167463	       720.3 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=true-2        	  165044	       724.7 ns/op	     160 B/op	       4 allocs/op
BenchmarkFsOpsCount/workers=3/bufferSize=1/discard=false/multipleObs=false-2       	  182086	       689.4 ns/op	     160 B/op	       4 allocs/op
